sequenceID	locus_name	locus_numeric_id	record_id	organism	Species	Group	Class	Superorder	Order	host_family	host_genus	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	locus_structure	sequence_length
Enhydra_lutris_35561127	ecv-circo.51-carnivora	51	2419	Enhydra_lutris	Enhydra lutris	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Enhydra	low_coverage	ASM228890v2	GCF_002288905.1_ASM228890v2_genomic.fna	NW_019154091.1	+	35561127	35561930	Rep-consensus[Carnivore-endogenous-circovirus(+)]	804
Enhydra_lutris_28821802	ecv-circo.51-carnivora	51	2444	Enhydra_lutris	Enhydra lutris	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Enhydra	low_coverage	ASM228890v2	GCF_002288905.1_ASM228890v2_genomic.fna	NW_019154108.1	-	28821802	28822555	Rep-consensus[Carnivore-endogenous-circovirus(-)]	754
Gulo_gulo_91702	ecv-circo.51-carnivora	51	1301	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01006537.1	-	91702	92511	Rep-consensus[Carnivore-endogenous-circovirus(-)]	810
Gulo_gulo_3620	ecv-circo.51-carnivora	51	1337	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01008717.1	-	3620	4355	Rep-consensus[Carnivore-endogenous-circovirus(-)]	736
Gulo_gulo_2217	ecv-circo.51-carnivora	51	1350	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01022637.1	-	2217	3036	Rep-consensus[Carnivore-endogenous-circovirus(-)]	820
Gulo_gulo_48084	ecv-circo.51-carnivora	51	1365	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01009818.1	-	48084	48853	Rep-consensus[Carnivore-endogenous-circovirus(-)]	770
Gulo_gulo_4290	ecv-circo.51-carnivora	51	1373	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01009419.1	-	4290	4421	Rep[Dragonfly-cyclovirus-2(-)]	132
Gulo_gulo_139	ecv-circo.51-carnivora	51	1383	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01028486.1	-	139	348	Rep[Cyclovirus-VN(-)]	210
Gulo_gulo_699	ecv-circo.51-carnivora	51	1393	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01019900.1	-	699	1404	Rep-consensus[Carnivore-endogenous-circovirus(-)]	706
Gulo_gulo_202998	ecv-circo.51-carnivora	51	1397	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01003034.1	+	202998	203803	Rep-consensus[Carnivore-endogenous-circovirus(+)]	806
Gulo_gulo_31769	ecv-circo.51-carnivora	51	1400	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01012200.1	+	31769	32609	Rep-consensus[Carnivore-endogenous-circovirus(+)]	841
Gulo_gulo_34	ecv-circo.51-carnivora	51	1406	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01016040.1	-	34	764	Rep-consensus[Carnivore-endogenous-circovirus(-)]	731
Gulo_gulo_26322	ecv-circo.51-carnivora	51	1419	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01013694.1	-	26322	26954	Rep-consensus[Carnivore-endogenous-circovirus(-)]	633
Gulo_gulo_12437	ecv-circo.51-carnivora	51	1437	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01016669.1	-	12437	13176	Rep-consensus[Carnivore-endogenous-circovirus(-)]	740
Gulo_gulo_5972	ecv-circo.51-carnivora	51	1439	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01022818.1	-	5972	6543	Rep-consensus[Carnivore-endogenous-circovirus(-)]	572
Gulo_gulo_98283	ecv-circo.51-carnivora	51	1462	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01006583.1	-	98283	98573	Rep[Raven-circovirus(-)]	291
Gulo_gulo_69403	ecv-circo.51-carnivora	51	1464	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01003998.1	-	69403	70131	Rep-consensus[Carnivore-endogenous-circovirus(-)]	729
Gulo_gulo_6176	ecv-circo.51-carnivora	51	1480	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01019145.1	-	6176	6469	Rep[Raven-circovirus(-)]	294
Gulo_gulo_12040	ecv-circo.51-carnivora	51	1516	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01000648.1	-	12040	12775	Rep[Columbid-circovirus(-)]	736
Gulo_gulo_7673	ecv-circo.51-carnivora	51	1533	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01019497.1	-	7673	8456	Rep[Columbid-circovirus(-)]	784
Gulo_gulo_8307	ecv-circo.51-carnivora	51	1541	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01009499.1	+	8307	8935	Rep-consensus[Carnivore-endogenous-circovirus(+)]	629
Gulo_gulo_32662	ecv-circo.51-carnivora	51	1556	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01010699.1	+	32662	33286	Rep-consensus[Carnivore-endogenous-circovirus(+)]	625
Gulo_gulo_32044	ecv-circo.51-carnivora	51	1638	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01012500.1	+	32044	32964	Rep-consensus[Carnivore-endogenous-circovirus(+)]	921
Gulo_gulo_9692	ecv-circo.51-carnivora	51	1663	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01022937.1	+	9692	10670	Rep-consensus[Carnivore-endogenous-circovirus(+)]	979
Gulo_gulo_131480	ecv-circo.51-carnivora	51	1667	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01005676.1	+	131480	132064	Rep-consensus[Carnivore-endogenous-circovirus(+)]	585
Gulo_gulo_38487	ecv-circo.51-carnivora	51	1679	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01002745.1	+	38487	39193	Rep-consensus[Carnivore-endogenous-circovirus(+)]	707
Gulo_gulo_15828	ecv-circo.51-carnivora	51	1763	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01011295.1	-	15828	16530	Rep-consensus[Carnivore-endogenous-circovirus(-)]	703
Gulo_gulo_5928	ecv-circo.51-carnivora	51	1796	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01007649.1	-	5928	6632	Rep-consensus[Carnivore-endogenous-circovirus(-)]	705
Gulo_gulo_32	ecv-circo.51-carnivora	51	1813	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01045351.1	-	32	442	Rep-consensus[Carnivore-endogenous-circovirus(-)]	411
Gulo_gulo_1781	ecv-circo.51-carnivora	51	1840	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01018123.1	-	1781	2398	Rep-consensus[Carnivore-endogenous-circovirus(-)]	618
Gulo_gulo_149548	ecv-circo.51-carnivora	51	1872	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01004406.1	-	149548	149868	Rep-consensus[Carnivore-endogenous-circovirus(-)]	321
Gulo_gulo_2481	ecv-circo.51-carnivora	51	1951	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01026249.1	-	2481	2771	Rep[Raven-circovirus(-)]	291
Gulo_gulo_32974	ecv-circo.51-carnivora	51	2015	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01003947.1	+	32974	34085	Rep-consensus[Carnivore-endogenous-circovirus(+)]	1112
Gulo_gulo_12952	ecv-circo.51-carnivora	51	2039	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01015553.1	-	12952	13718	Rep-consensus[Carnivore-endogenous-circovirus(-)]	767
Gulo_gulo_67277	ecv-circo.51-carnivora	51	2079	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01009151.1	+	67277	68037	Rep-consensus[Carnivore-endogenous-circovirus(+)]	761
Gulo_gulo_12693	ecv-circo.51-carnivora	51	2089	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01008773.1	-	12693	13285	Rep-consensus[Carnivore-endogenous-circovirus(-)]	593
Gulo_gulo_6382	ecv-circo.51-carnivora	51	2090	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01003325.1	-	6382	7139	Rep-consensus[Carnivore-endogenous-circovirus(-)]	758
Gulo_gulo_58750	ecv-circo.51-carnivora	51	2102	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01007464.1	+	58750	59379	Rep-consensus[Carnivore-endogenous-circovirus(+)]	630
Gulo_gulo_27403	ecv-circo.51-carnivora	51	2120	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01003851.1	-	27403	28156	Rep-consensus[Carnivore-endogenous-circovirus(-)]	754
Gulo_gulo_5688	ecv-circo.51-carnivora	51	2137	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01018792.1	-	5688	6602	Rep-consensus[Carnivore-endogenous-circovirus(-)]	915
Gulo_gulo_117148	ecv-circo.51-carnivora	51	2140	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01000127.1	-	117148	117772	Rep-consensus[Carnivore-endogenous-circovirus(-)]	625
Gulo_gulo_28359	ecv-circo.51-carnivora	51	2147	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01007296.1	+	28359	29048	Rep-consensus[Carnivore-endogenous-circovirus(+)]	690
Gulo_gulo_1864	ecv-circo.51-carnivora	51	2194	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01023051.1	+	1864	2358	Rep-consensus[Carnivore-endogenous-circovirus(+)]	495
Gulo_gulo_86701	ecv-circo.51-carnivora	51	2238	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01002600.1	+	86701	87099	Rep-consensus[Carnivore-endogenous-circovirus(+)]	399
Gulo_gulo_7961	ecv-circo.51-carnivora	51	2272	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01020473.1	-	7961	8719	Rep-consensus[Carnivore-endogenous-circovirus(-)]	759
Gulo_gulo_20758	ecv-circo.51-carnivora	51	2287	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01013212.1	-	20758	20874	Rep-consensus[Carnivore-endogenous-circovirus(-)]	117
Gulo_gulo_23759	ecv-circo.51-carnivora	51	2301	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01016480.1	+	23759	24529	Rep-consensus[Carnivore-endogenous-circovirus(+)]	771
Gulo_gulo_9045	ecv-circo.51-carnivora	51	2374	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01019062.1	-	9045	9245	Rep[Starling-circovirus(-)]	201
Gulo_gulo_7482	ecv-circo.51-carnivora	51	2403	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01013156.1	-	7482	8483	Rep-consensus[Carnivore-endogenous-circovirus(-)]	1002
Gulo_gulo_11440	ecv-circo.51-carnivora	51	2418	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01021107.1	+	11440	12275	Rep-consensus[Carnivore-endogenous-circovirus(+)]	836
Gulo_gulo_75769	ecv-circo.51-carnivora	51	2447	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01009137.1	+	75769	76525	Rep-consensus[Carnivore-endogenous-circovirus(+)]	757
Gulo_gulo_1657	ecv-circo.51-carnivora	51	2460	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01023070.1	-	1657	2507	Rep-consensus[Carnivore-endogenous-circovirus(-)]	851
Gulo_gulo_41754	ecv-circo.51-carnivora	51	2471	Gulo_gulo	Gulo gulo	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01012219.1	+	41754	42544	Rep-consensus[Carnivore-endogenous-circovirus(+)]	791
Lutra_lutra_3501707	ecv-circo.51-carnivora	51	1293	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974402.1	-	3501707	3502298	Rep-consensus[Carnivore-endogenous-circovirus(-)]	592
Lutra_lutra_39484999	ecv-circo.51-carnivora	51	1298	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974374.1	+	39484999	39485370	Rep-consensus[Carnivore-endogenous-circovirus(+)]	372
Lutra_lutra_1077203	ecv-circo.51-carnivora	51	1316	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738413.1	-	1077203	1077983	Rep-consensus[Carnivore-endogenous-circovirus(-)]	781
Lutra_lutra_74376326	ecv-circo.51-carnivora	51	1318	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738411.1	+	74376326	74376986	Rep-consensus[Carnivore-endogenous-circovirus(+)]	661
Lutra_lutra_1249558	ecv-circo.51-carnivora	51	1326	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974483.1	+	1249558	1250374	Rep-consensus[Carnivore-endogenous-circovirus(+)]	817
Lutra_lutra_11132822	ecv-circo.51-carnivora	51	1331	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974416.1	+	11132822	11133552	Rep-consensus[Carnivore-endogenous-circovirus(+)]	731
Lutra_lutra_79987	ecv-circo.51-carnivora	51	1345	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738410.1	-	79987	80657	Rep-consensus[Carnivore-endogenous-circovirus(-)]	671
Lutra_lutra_43743562	ecv-circo.51-carnivora	51	1364	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738410.1	+	43743562	43744313	Rep-consensus[Carnivore-endogenous-circovirus(+)]	752
Lutra_lutra_3996738	ecv-circo.51-carnivora	51	1370	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974436.1	-	3996738	3997518	Rep-consensus[Carnivore-endogenous-circovirus(-)]	781
Lutra_lutra_43986473	ecv-circo.51-carnivora	51	1385	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738410.1	+	43986473	43986760	Rep[Beak-and-feather-disease-virus(+)]	288
Lutra_lutra_31880912	ecv-circo.51-carnivora	51	1390	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738415.1	+	31880912	31881665	Rep-consensus[Carnivore-endogenous-circovirus(+)]	754
Lutra_lutra_10506742	ecv-circo.51-carnivora	51	1396	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974444.1	-	10506742	10507366	Rep-consensus[Carnivore-endogenous-circovirus(-)]	625
Lutra_lutra_665825	ecv-circo.51-carnivora	51	1426	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738416.1	-	665825	666352	Rep-consensus[Carnivore-endogenous-circovirus(-)]	528
Lutra_lutra_2693466	ecv-circo.51-carnivora	51	1435	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974475.1	+	2693466	2694291	Rep-consensus[Carnivore-endogenous-circovirus(+)]	826
Lutra_lutra_11280688	ecv-circo.51-carnivora	51	1534	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974416.1	-	11280688	11281373	Rep-consensus[Carnivore-endogenous-circovirus(-)]	686
Lutra_lutra_1421558	ecv-circo.51-carnivora	51	1548	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974469.1	-	1421558	1422293	Rep-consensus[Carnivore-endogenous-circovirus(-)]	736
Lutra_lutra_1634177	ecv-circo.51-carnivora	51	1551	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974560.1	+	1634177	1634467	Rep[Raven-circovirus(+)]	291
Lutra_lutra_35412782	ecv-circo.51-carnivora	51	1557	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738408.1	+	35412782	35413075	Rep[Raven-circovirus(+)]	294
Lutra_lutra_8895	ecv-circo.51-carnivora	51	1593	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974460.1	+	8895	9624	Rep-consensus[Carnivore-endogenous-circovirus(+)]	730
Lutra_lutra_120801096	ecv-circo.51-carnivora	51	1595	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974370.1	-	120801096	120801242	Rep-consensus[Carnivore-endogenous-circovirus(-)]	147
Lutra_lutra_60968	ecv-circo.51-carnivora	51	1603	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	WMAJ01006697.1	+	60968	61796	Rep-consensus[Carnivore-endogenous-circovirus(+)]	829
Lutra_lutra_35498451	ecv-circo.51-carnivora	51	1608	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738408.1	-	35498451	35499265	Rep-consensus[Carnivore-endogenous-circovirus(-)]	815
Lutra_lutra_61037	ecv-circo.51-carnivora	51	1634	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	WMAJ01006696.1	+	61037	61865	Rep-consensus[Carnivore-endogenous-circovirus(+)]	829
Lutra_lutra_40939204	ecv-circo.51-carnivora	51	1636	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	mLutLut1.1	GCA_902655055.1_mLutLut1.1_genomic.fna	LR738414.1	-	40939204	40939788	Rep-consensus[Carnivore-endogenous-circovirus(-)]	585
Lutra_lutra_36358691	ecv-circo.51-carnivora	51	1641	Lutra_lutra	Lutra lutra	Vertebrates	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra	low_coverage	riverotter_1.0	GCA_010015895.1_GSC_riverotter_1.0_genomic.fna	ML974378.1	-	36358691	36359275	Rep-consensus[Carnivore-endogenous-circovirus(-)]	585
