id	virus_name	full_name	virus_family	virus_genus	virus_clade	organism	Phylum	Class	Superorder	Order	Family	Genus	NumericID	scaffold	extract_start	extract_end	sequence_length	orientation	assigned_name	assigned_gene	subject_start	subject_end
Hydra-92	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	92	PJUU01074877.1	9533	10222	690	-	Circoviridae-5-LDMD-2013	replication-associated-protein	46	256
Hydra-93	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	93	PJUU01074877.1	12973	13716	744	-	Circo-like-virus-Brazil-hs1	putative-Rep-protein	85	250
Hydra-94	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	94	PJUU01079210.1	13037	13435	399	-	Dragonfly-cyclovirus-2	Rep	176	304
Hydra-95	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	95	PJUU01079985.1	643	1386	744	+	Mulard-duck-circovirus	Rep	12	247
Craspedacusta-96	ECV.Craspedacusta	Craspedacusta endogenous circoviral element	CRESS	CRESS	Unclassified	Craspedacusta_sowerbyi	Cnidaria	Hydrozoa	Unclassified	Limnomedusae	Olindiidae	Craspedacusta	96	QQSS01072681.1	1895	2443	549	+	Columbid-circovirus	Rep	129	299
Cassiopea-97	ECV.Cassiopea	Cassiopea endogenous circoviral element	CRESS	CRESS	Unclassified	Cassiopea_xamachana	Cnidaria	Scyphozoa	Unclassified	Rhizostomeae	Cassiopeidae	Cassiopea	97	OLMO01021977.1	38787	39281	495	+	Raven-circovirus	Rep	6	152
Limnoperna-98	ECV.Limnoperna	Limnoperna endogenous circoviral element	CRESS	CRESS	Unclassified	Limnoperna_fortunei	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Limnoperna	98	NFUK01001037.1	183797	184219	423	-	Raven-circovirus	Rep	10	145
Limnoperna-99	ECV.Limnoperna	Limnoperna endogenous circoviral element	CRESS	CRESS	Unclassified	Limnoperna_fortunei	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Limnoperna	99	NFUK01001435.1	310038	310223	186	-	Bat-circovirus	Rep	43	96
Limnoperna-100	ECV.Limnoperna	Limnoperna endogenous circoviral element	CRESS	CRESS	Unclassified	Limnoperna_fortunei	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Limnoperna	100	NFUK01004051.1	54808	55008	201	+	Porcine-circovirus-2	Rep	54	111
Modiolus-101	ECV.Modiolus	Modiolus endogenous circoviral element	CRESS	CRESS	Unclassified	Modiolus_philippinarum	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Modiolus	101	MJUU01001283.1	38049	38360	312	+	Columbid-circovirus	Rep	67	172
Modiolus-102	ECV.Modiolus	Modiolus endogenous circoviral element	CRESS	CRESS	Unclassified	Modiolus_philippinarum	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Modiolus	102	MJUU01042417.1	99804	100211	408	-	Starling-circovirus	Rep	9	136
Modiolus-103	ECV.Modiolus	Modiolus endogenous circoviral element	CRESS	CRESS	Unclassified	Modiolus_philippinarum	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Modiolus	103	MJUU01068966.1	5477	5794	318	-	Silurus-glanis-circovirus	Rep	35	139
Modiolus-104	ECV.Modiolus	Modiolus endogenous circoviral element	CRESS	CRESS	Unclassified	Modiolus_philippinarum	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Modiolus	104	MJUU01073091.1	20191	20502	312	-	Silurus-glanis-circovirus	Rep	33	136
Mytilus-105	ECV.Mytilus	Mytilus endogenous circoviral element	CRESS	CRESS	Unclassified	Mytilus_galloprovincialis	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Mytilus	105	APJB010838810.1	410	817	408	-	Raven-circovirus	Rep	13	146
Mytilus-106	ECV.Mytilus	Mytilus endogenous circoviral element	CRESS	CRESS	Unclassified	Mytilus_galloprovincialis	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Mytilus	106	APJB011154846.1	114	578	465	+	Raven-circovirus	Rep	8	161
Mytilus-107	ECV.Mytilus	Mytilus endogenous circoviral element	CRESS	CRESS	Unclassified	Mytilus_galloprovincialis	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Mytilus	107	APJB011625158.1	79	468	390	-	Canine-circovirus	Rep	16	123
Mytilus-108	ECV.Mytilus	Mytilus endogenous circoviral element	CRESS	CRESS	Unclassified	Mytilus_galloprovincialis	Molluscs	Bivalvia	Unclassified	Mytiloida	Mytilidae	Mytilus	108	APJB011873033.1	1	324	324	+	Columbid-circovirus	Rep	66	172
Triops-109	ECV.Triops	Triops endogenous circoviral element	CRESS	CRESS	Unclassified	Triops_cancriformis	Molluscs	Branchiopoda	Unclassified	Notostraca	Triopsidae	Triops	109	BAYF01014734.1	511	1215	705	-	Circoviridae-19-LDMD-2013	replication-associated-protein	7	244
Octopus-110	ECV.Octopus	Octopus endogenous circoviral element	CRESS	CRESS	Unclassified	Octopus_vulgaris	Molluscs	Cephalopoda	Octopodiformes	Octopoda	Octopodidae	Octopus	110	NC_042999.1	47238820	47239245	426	-	Dragonfly-cyclovirus-3	Rep	31	160
Octopus-111	ECV.Octopus	Octopus endogenous circoviral element	CRESS	CRESS	Unclassified	Octopus_vulgaris	Molluscs	Cephalopoda	Octopodiformes	Octopoda	Octopodidae	Octopus	111	NC_043010.1	52360692	52360958	267	-	Finch-circovirus	Rep	12	96
Taenia-112	ECV.Taenia	Taenia endogenous circoviral element	CRESS	CRESS	Unclassified	Taenia_solium	Molluscs	Cestoda	Unclassified	Cyclophyllidea	Taeniidae	Taenia	112	MIEF01010267.1	41429	41908	480	-	Dragonfly-cyclovirus-2	Rep	120	276
Taenia-113	ECV.Taenia	Taenia endogenous circoviral element	CRESS	CRESS	Unclassified	Taenia_solium	Molluscs	Cestoda	Unclassified	Cyclophyllidea	Taeniidae	Taenia	113	MIEF01010842.1	55457	55819	363	+	Feline-cyclovirus	Rep	150	270
Taenia-114	ECV.Taenia	Taenia endogenous circoviral element	CRESS	CRESS	Unclassified	Taenia_solium	Molluscs	Cestoda	Unclassified	Cyclophyllidea	Taeniidae	Taenia	114	MIEF01010842.1	57998	58207	210	+	Feline-cyclovirus	Rep	74	142
Marisa-118	ECV.Marisa	Marisa endogenous circoviral element	CRESS	CRESS	Unclassified	Marisa_cornuarietis	Molluscs	Gastropoda	Unclassified	Unclassified	Ampullariidae	Marisa	118	SMMW01000085.1	262333	262617	285	-	Carp-endogenous-circovirus	Rep	11	105
Aplysia-119	ECV.Aplysia	Aplysia endogenous circoviral element	CRESS	CRESS	Unclassified	Aplysia_californica	Molluscs	Gastropoda	Unclassified	Unclassified	Aplysiidae	Aplysia	119	gi|523419605|ref|NW_004797444.1|	1096160	1096456	297	-	Raven-circovirus	Rep	11	105
Conus-120	ECV.Conus	Conus endogenous circoviral element	CRESS	CRESS	Unclassified	Conus_tribblei	Molluscs	Gastropoda	Unclassified	Unclassified	Conidae	Conus	120	LFLW010028433.1	1398	1844	447	-	Raven-circovirus	Rep	10	145
Conus-121	ECV.Conus	Conus endogenous circoviral element	CRESS	CRESS	Unclassified	Conus_tribblei	Molluscs	Gastropoda	Unclassified	Unclassified	Conidae	Conus	121	LFLW010422232.1	4686	5099	414	+	Raven-circovirus	Rep	10	137
Conus-122	ECV.Conus	Conus endogenous circoviral element	CRESS	CRESS	Unclassified	Conus_tribblei	Molluscs	Gastropoda	Unclassified	Unclassified	Conidae	Conus	122	LFLW010642470.1	2353	2622	270	-	Anguilla-anguilla-circovirus	Rep	10	89
Biomphalaria-123	ECV.Biomphalaria	Biomphalaria endogenous circoviral element	CRESS	CRESS	Unclassified	Biomphalaria_glabrata	Molluscs	Gastropoda	Unclassified	Unclassified	Planorbidae	Biomphalaria	123	gi|902619608|ref|NW_013247236.1|	30	224	195	+	Anguilla-anguilla-circovirus	Rep	156	219
Thelohanellus-124	ECV.Thelohanellus	Thelohanellus endogenous circoviral element	CRESS	CRESS	Unclassified	Thelohanellus_kitauei	Molluscs	Unclassified	Unclassified	Bivalvulida	Myxobolidae	Thelohanellus	124	JWZT01004999.1	177293	177655	363	-	Mulard-duck-circovirus	Rep	162	271
Clonorchis-125	ECV.Clonorchis	Clonorchis endogenous circoviral element	CRESS	CRESS	Unclassified	Clonorchis_sinensis	Platyhelminthes	Trematoda	Unclassified	Opisthorchiida	Opisthorchiidae	Clonorchis	125	NIRI01000890.1	1051475	1051873	399	+	Porcine-circovirus-type-1-2a	Rep	169	282
Opisthorchis-126	ECV.Opisthorchis	Opisthorchis endogenous circoviral element	CRESS	CRESS	Unclassified	Opisthorchis_viverrini	Platyhelminthes	Trematoda	Unclassified	Opisthorchiida	Opisthorchiidae	Opisthorchis	126	KV899303.1	4952	5785	834	+	Beak-and-feather-disease-virus	Rep	20	277
Opisthorchis-127	ECV.Opisthorchis	Opisthorchis endogenous circoviral element	CRESS	CRESS	Unclassified	Opisthorchis_viverrini	Platyhelminthes	Trematoda	Unclassified	Opisthorchiida	Opisthorchiidae	Opisthorchis	127	KV903421.1	9	338	330	+	Bat-circovirus	Rep	171	280
Fasciola-128	ECV.Fasciola	Fasciola endogenous circoviral element	CRESS	CRESS	Unclassified	Fasciola_hepatica	Platyhelminthes	Trematoda	Unclassified	Plagiorchiida	Fasciolidae	Fasciola	128	LT997001.1	893628	894032	405	+	Porcine-circovirus-type-1-2a	Rep	158	260
Fasciola-129	ECV.Fasciola	Fasciola endogenous circoviral element	CRESS	CRESS	Unclassified	Fasciola_hepatica	Platyhelminthes	Trematoda	Unclassified	Plagiorchiida	Fasciolidae	Fasciola	129	LT997343.1	1340078	1340407	330	+	Acartia-tonsa-copepod-circovirus	Rep	238	327
Fasciola-130	ECV.Fasciola	Fasciola endogenous circoviral element	CRESS	CRESS	Unclassified	Fasciola_hepatica	Platyhelminthes	Trematoda	Unclassified	Plagiorchiida	Fasciolidae	Fasciola	130	LT997902.1	50249	50626	378	+	Porcine-circovirus-type-1-2a	Rep	153	275
Fasciola-131	ECV.Fasciola	Fasciola endogenous circoviral element	CRESS	CRESS	Unclassified	Fasciola_hepatica	Platyhelminthes	Trematoda	Unclassified	Plagiorchiida	Fasciolidae	Fasciola	131	LT998469.1	3027370	3027612	243	-	Porcine-circovirus-2	Rep	159	241
Fasciola-132	ECV.Fasciola	Fasciola endogenous circoviral element	CRESS	CRESS	Unclassified	Fasciola_hepatica	Platyhelminthes	Trematoda	Unclassified	Plagiorchiida	Fasciolidae	Fasciola	132	LT999127.1	4187274	4188008	735	-	Beak-and-feather-disease-virus	Rep	49	252
Fasciola-133	ECV.Fasciola	Fasciola endogenous circoviral element	CRESS	CRESS	Unclassified	Fasciola_hepatica	Platyhelminthes	Trematoda	Unclassified	Plagiorchiida	Fasciolidae	Fasciola	133	LT999708.1	763109	763438	330	-	Mink-circovirus	Rep	160	242
