id	isolate	country	host_sci_name	collection_year
JQ782202	YCP28F	New Zealand	Cyanoramphus auriceps	2012
JQ782203	YCP24	New Zealand	Cyanoramphus auriceps	2012
JQ782204	YCP23	New Zealand	Cyanoramphus auriceps	2012
JQ782205	YCP21	New Zealand	Cyanoramphus auriceps	2012
JQ782206	YCP19	New Zealand	Cyanoramphus auriceps	2012
JQ782207	YCP25	New Zealand	Cyanoramphus auriceps	2012
JQ782208	YCP20	New Zealand	Cyanoramphus auriceps	2012
JX049196	NC107	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049197	NC108	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049198	NC109	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049199	NCF19	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049200	NCL1	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049201	NCL3	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049202	NCL7	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049203	NCL9	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049204	2NC37F	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049205	2NC38F	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049206	2NC39B	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049207	2NC40F	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049208	2NC41B	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049209	2NC42B	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049210	2NC43B	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049211	2NC44B	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049212	2NC94F	New Caledonia	Trichoglossus haematodus deplanchii	2011
JX049213	2NC85B	New Caledonia	Eclectus roratus	2011
JX049217	2NC89B	New Caledonia	Eclectus roratus	2011
JX049218	2NC90B	New Caledonia	Eclectus roratus	2011
JX049220	2NC92F	New Caledonia	Cyanoramphus saisetti	2011
JX221004	BFDV-Q_PL-1067_2010	Poland	Melopsittacus undulatus	2010
JX221006	BFDV-J_PL-1229_2010	Poland	Platycercus elegans	2011
JX221007	BFDV-J_PL-1232_2011	Poland	Psittacula krameri	2011
JX221008	BFDV-J_PL-1233_2011	Poland	Psittacula krameri	2011
JX221009	BFDV-Q_PL-1240_2011	Poland	Melopsittacus undulatus	2011
JX221013	BFDV-I_PL-13_2003	Poland	Poicephalus robustus	2003
JX221015	BFDV-S_PL-168_2006	Poland	Aprosmictus erythropterus	2006
JX221016	BFDV-S_PL-169_2006	Poland	Aprosmictus erythropterus	2006
JX221017	BFDV-T_PL-328_2007	Poland	Psittacula krameri	2007
JX221018	BFDV-T_PL-336_2007	Poland	Psittacus erithacus	2007
JX221020	BFDV-T_PL-376_2007	Poland	Psittacus erithacus	2007
JX221021	BFDV-T_PL-378_2007	Poland	Amazona amazonica	2007
JX221022	BFDV-T_PL-399_2007	Poland	Psittacus erithacus	2007
JX221024	BFDV-Q_PL-418_2007	Poland	Forpus coelestis	2007
JX221025	BFDV-B-D_PL-479_2007	Poland	Cacatua alba	2007
JX221026	BFDV-B-D_PL-482_2007	Poland	Melopsittacus undulatus	2007
JX221027	BFDV-B-D_PL-483_2007	Poland	Melopsittacus undulatus	2007
JX221028	BFDV-B-D_PL-496_2007	Poland	Melopsittacus undulatus	2007
JX221032	BFDV-J_PL-573_2008	Poland	Psittacus erithacus	2008
JX221033	BFDV-J_PL-677_2008	Poland	Alisterus scapularis	2008
JX221034	BFDV-N_PL-680_2008	Poland	Melopsittacus undulatus	2008
JX221035	BFDV-J_PL-683_2008	Poland	Platycercus eximius	2008
JX221036	BFDV-J_PL-684_2008	Poland	Alexandrine parakeet	2008
JX221037	BFDV-J_PL-688_2008	Poland	Psittacus erithacus	2008
JX221038	BFDV-I_PL-711_2008	Poland	Psittacus erithacus	2008
JX221039	BFDV-I_PL-717_2008	Poland	Psittacus erithacus	2008
JX221040	BFDV-R_PL-742_2008	Poland	Amazona aestiva	2008
JX221041	BFDV-J_PL-785_2009	Poland	Psittacus erithacus	2009
JX221042	BFDV-I_PL-830_2009	Poland	Alexandrine parakeet	2009
JX221043	BFDV-Q_PL-902_2009	Poland	Platycercus elegans	2009
KC121339	COR08000	Australia	Cacatua pastinator	2008
KC121340	OBP08450	Australia	Neophema chrysogaster	2008
KC693651	CS12082720213	Australia	Neophema chrysogaster	2012
KC693652	CS12082720203	Australia	Neophema chrysogaster	2012
KC693653	CS12082720214	Australia	Neophema chrysogaster	2012
KC980909	Taiwan-1	Taiwan	Cacatua ophthalmica	2013
KF188681	CS08-416-OBP-TAS-19144	Australia	Orange-bellied parrot	-
KF188682	CS08-418-OBP-TAS-19118	Australia	Orange-bellied parrot	-
KF188683	CS08-423-OBP-TAS-19076	Australia	Orange-bellied parrot	-
KF188684	CS08-424-OBP-TAS-19136	Australia	Orange-bellied parrot	-
KF188685	CS08-425-OBP-TAS-19140	Australia	Orange-bellied parrot	-
KF188686	CS08-448-OBP-TAS-19124	Australia	Orange-bellied parrot	-
KF188687	CS08-449-OBP-TAS-19167	Australia	Orange-bellied parrot	-
KF188688	CS08-450-OBP-TAS-19183	Australia	Orange-bellied parrot	-
KF188689	CS08-459-OBP-TAS-19157	Australia	Orange-bellied parrot	-
KF188690	CS08-482-OBP-TAS-19139	Australia	Orange-bellied parrot	-
KF188691	CS10-1017-OBP-VIC-HS030910-B	Australia	Orange-bellied parrot	-
KF188692	CS10-1018-OBP-VIC-HS030910-c	Australia	Orange-bellied parrot	-
KF188693	CS11-1361-OBP-VIC-B10750	Australia	Orange-bellied parrot	-
KF188694	CS12-0364-OBP-TAS-B10083	Australia	Orange-bellied parrot	-
KF188695	CS12-0364-QA2-OBP-TAS-B10083	Australia	Orange-bellied parrot	2012
KF188696	CS10-1018-QB2-OBP-VIC-HS030910-C	Australia	Orange-bellied parrot	2010
KF188697	CS10-1018-QB3-OBP-VIC-HS030910-C	Australia	Orange-bellied parrot	2010
KF188698	CS10-1018-QB4-OBP-VIC-HS030910-C	Australia	Orange-bellied parrot	2010
KF188699	CS10-1018-QB5-OBP-VIC-HS030910-C	Australia	Orange-bellied parrot	2010
KF188700	CS10-1018-QB6-OBP-VIC-HS030910-C	Australia	Orange-bellied parrot	2010
KF188701	CS10-1018-QB7-OBP-VIC-HS030910-C	Australia	Orange-bellied parrot	2010
KF188702	CS08-423-QC2-OBP-TAS-19076	Australia	Orange-bellied parrot	2008
KF188703	CS08-448-QD2-OBP-TAS-19124	Australia	Orange-bellied parrot	2008
KF197006	BFD09-172-OBP-VIC	Australia	Orange-bellied parrot	2009
KF197007	CS11-1116-OBP-VIC-H51805511-A	Australia	Orange-bellied parrot	2011
KF197008	CS11-1118-OBP-VIC	Australia	Orange-bellied parrot	2011
KF197009	CS11-1122-OBP-VIC	Australia	Orange-bellied parrot	2011
KF197010	CS11-1123-OBP-VIC-H5180511-H	Australia	Orange-bellied parrot	2011
KF197011	CS11-1124-OBP-VIC-H5180511-I	Australia	Orange-bellied parrot	2011
KF197012	CS11-1358-OBP-VIC-B10754	Australia	Orange-bellied parrot	2011
KF197013	CS11-2779-OBP-VIC-230-16982	Australia	Orange-bellied parrot	2011
KF197014	CS12-0863-OBP-TAS	Australia	Orange-bellied parrot	2012
KF197015	CS12-1776-OBP-VIC-HS290612-A	Australia	Orange-bellied parrot	2012
KF197016	CS12-1779-OBP-VIC	Australia	Orange-bellied parrot	2012
KF197017	CS12-2144-1-OBP-TAS-HS080	Australia	Orange-bellied parrot	2012
KF197018	CS12-2144-3-OBP-TAS	Australia	Orange-bellied parrot	2012
KF197019	CS12-2144-5-OBP-TAS-HS192	Australia	Orange-bellied parrot	2012
KF197020	CS12-2144-7-OBP-TAS-20263	Australia	Orange-bellied parrot	2012
KF197021	CS12-2144-9-OBP-TAS-20264	Australia	Orange-bellied parrot	2012
KF197022	CS12-2144-11-OBP-TAS-20226	Australia	Orange-bellied parrot	2012
KF197023	CS12-2144-13-OBP-TAS	Australia	Orange-bellied parrot	2012
KF385399	BFDV_AUS_RTBC_13_1780_052	Australia	Calyptorhynchus banksii	2013
KF385400	BFDV_AUS_RTBC_13_1780_055	Australia	Calyptorhynchus banksii	2013
KF385401	BFDV_AUS_GGC_96_1404	Australia	Callocephalon fimbriatum	1996
KF385402	BFDV_AUS_GGC_04_604	Australia	Callocephalon fimbriatum	2004
KF385403	BFDV_AUS_GGC_10_863	Australia	Callocephalon fimbriatum	2010
KF385404	BFDV_AUS_GGC_11_1212	Australia	Callocephalon fimbriatum	2011
KF385405	BFDV_AUS_GGC_11_1213	Australia	Callocephalon fimbriatum	2011
KF385406	BFDV_AUS_MMC_04_593	Australia	Cacatua leadbeateri	2004
KF385407	BFDV_AUS_MMC_1997	Australia	Cacatua leadbeateri	1997
KF385408	BFDV_AUS_GBC_06_939	Australia	Calyptorhynchus lathami	2006
KF385409	BFDV_AUS_GBC_11_383	Australia	Calyptorhynchus lathami	2011
KF385410	BFDV_AUS_GBC_11_385	Australia	Calyptorhynchus lathami	2011
KF385411	BFDV_AUS_GBC_11_391	Australia	Calyptorhynchus lathami	2011
KF385412	BFDV_AUS_GBC_11_392	Australia	Calyptorhynchus lathami	2011
KF385413	BFDV_AUS_SCC_05_746	Australia	Cacatua galerita	2005
KF385414	BFDV_AUS_SCC_06_854	Australia	Cacatua galerita	2006
KF385415	BFDV_AUS_SCC_12_3044_001	Australia	Cacatua galerita	2012
KF385417	BFDV_AUS_SCC_13_0679_001	Australia	Cacatua galerita	2013
KF385418	BFDV_AUS_SCC_W0610	Australia	Cacatua galerita	2010
KF385419	BFDV_AUS_SCC_W16710	Australia	Cacatua galerita	2010
KF385420	BFDV_AUS_LBC_LBC2	Australia	Cacatua tenuirostris	2010
KF385421	BFDV_AUS_LBC_LBC6	Australia	Cacatua tenuirostris	2010
KF385422	BFDV_AUS_LBC_LBC7	Australia	Cacatua tenuirostris	2010
KF385423	BFDV_AUS_LBC_LBC10	Australia	Cacatua tenuirostris	2010
KF385424	BFDV_AUS_LBC_LBC11	Australia	Cacatua tenuirostris	2010
KF385425	BFDV_AUS_LBC_LBC33	Australia	Cacatua tenuirostris	2010
KF385426	BFDV_AUS_LBC_LBC50	Australia	Cacatua tenuirostris	2010
KF385427	BFDV_AUS_LBC_LBC51	Australia	Cacatua tenuirostris	2010
KF385428	BFDV_AUS_LBC_W45610	Australia	Cacatua tenuirostris	2010
KF385429	BFDV_AUS_LBC_13_1622_006	Australia	Cacatua tenuirostris	2013
KF385430	BFDV_AUS_Galah_12_1474	Australia	Eolophus roseicapillus	2012
KF385431	BFDV_AUS_Galah_04_065	Australia	Eolophus roseicapillus	2004
KF385432	BFDV_AUS_Galah_04_093A	Australia	Eolophus roseicapillus	2004
KF385433	BFDV_AUS_Galah_04_093B	Australia	Eolophus roseicapillus	2004
KF385434	BFDV_AUS_Galah_04_245	Australia	Eolophus roseicapillus	2004
KF385435	BFDV_AUS_Galah_04_298	Australia	Eolophus roseicapillus	2004
KF385436	BFDV_AUS_Galah_04_410	Australia	Eolophus roseicapillus	2004
KF467251	BFDV-NZ_OR2_2012	New Zealand	Platycercus eximius	2012
KF467252	BFDV-NZ_OR3_2012	New Zealand	Platycercus eximius	2012
KF467253	BFDV-NZ_OR4_2012	New Zealand	Platycercus eximius	2012
KF467254	BFDV-NZ_OR5_2012	New Zealand	Platycercus eximius	2012
KF495566	BFDV_AUS_04_491	Australia	Callocephalon fimbriatum	2004
KF495567	BFDV_AUS_11_381	Australia	Calyptorhynchus lathami	2011
KF495568	BFDV_AUS_04_723	Australia	Lophochroa leadbeateri	2004
KF495569	BFDV_AUS_04_066	Australia	Cacatua galerita	2004
KF495570	BFDV_AUS_04_074	Australia	Cacatua galerita	2004
KF495571	BFDV_AUS_04_092	Australia	Cacatua galerita	2004
KF495572	BFDV_AUS_04_115	Australia	Cacatua galerita	2004
KF495573	BFDV_AUS_04_186	Australia	Cacatua galerita	2004
KF495574	BFDV_AUS_04_195	Australia	Cacatua galerita	2004
KF495575	BFDV_AUS_04_227	Australia	Cacatua galerita	2004
KF495576	BFDV_AUS_04_241	Australia	Cacatua galerita	2004
KF495577	BFDV_AUS_04_339	Australia	Cacatua galerita	2004
KF495578	BFDV_AUS_04_344	Australia	Cacatua galerita	2004
KF495579	BFDV_AUS_04_509	Australia	Cacatua galerita	2004
KF495580	BFDV_AUS_04_611	Australia	Cacatua galerita	2004
KF495581	BFDV_AUS_04_859	Australia	Cacatua galerita	2004
KF495582	BFDV_AUS_04_977	Australia	Cacatua galerita	2004
KF495583	BFDV_AUS_05_1042	Australia	Cacatua galerita	2005
KF495584	BFDV_AUS_05_1235	Australia	Cacatua galerita	2005
KF495585	BFDV_AUS_06_1163	Australia	Cacatua galerita	2006
KF495586	BFDV_AUS_06_1276	Australia	Cacatua galerita	2006
KF495587	BFDV_AUS_12_1386	Australia	Cacatua galerita	2012
KF495588	BFDV_AUS_12_1188	Australia	Cacatua galerita	2012
KF495589	BFDV_AUS_04_040	Australia	Cacatua tenuirostris	2010
KF495590	BFDV_AUS_LBC30	Australia	Cacatua tenuirostris	2010
KF495591	BFDV_AUS_LBC34	Australia	Cacatua tenuirostris	2010
KF495592	BFDV_AUS_LBC47	Australia	Cacatua tenuirostris	2010
KF495593	BFDV_AUS_LBC52	Australia	Cacatua tenuirostris	2010
KF495594	BFDV_AUS_LBC55	Australia	Cacatua tenuirostris	2010
KF495595	BFDV_AUS_LBC57	Australia	Cacatua tenuirostris	2010
KF495596	BFDV_AUS_LBC58	Australia	Cacatua tenuirostris	2010
KF495597	BFDV_AUS_04_619	Australia	Eolophus roseicapillus	2004
KF495598	BFDV_AUS_06_748	Australia	Eolophus roseicapillus	2006
KF495599	BFDV_AUS_04_303	Australia	Eolophus roseicapillus x Cacatua sanguinea	2004
KF495600	BFDV_AUS_04_447	Australia	Eolophus roseicapillus x Cacatua sanguinea	2004
KF499120	13-1780-052-QA2-RTBC-WA	Australia	Calyptorhynchus banksii	2013
KF499121	13-1780-052-QA3-RTBC-WA	Australia	Calyptorhynchus banksii	2013
KF499122	13-1780-055-QB2-RTBC-WA	Australia	Calyptorhynchus banksii	2013
KF499123	13-1780-055-QB3-RTBC-WA	Australia	Calyptorhynchus banksii	2013
KF499124	13-1780-055-QB4-RTBC-WA	Australia	Calyptorhynchus banksii	2013
KF499125	13-1780-055-QB5-RTBC-WA	Australia	Calyptorhynchus banksii	2013
KF499126	96-1404-QC2-GGC-WA	Australia	Callocephalon fimbriatum	1996
KF499127	96-1404-QC3-GGC-WA	Australia	Callocephalon fimbriatum	1996
KF499128	96-1404-QC4-GGC-WA	Australia	Callocephalon fimbriatum	1996
KF499129	96-1404-QC5-GGC-WA	Australia	Callocephalon fimbriatum	1996
KF499130	96-1404-QC6-GGC-WA	Australia	Callocephalon fimbriatum	1996
KF499131	96-1404-QC7-GGC-WA	Australia	Callocephalon fimbriatum	1996
KF499132	04-604-QD2-GGC-WA	Australia	Callocephalon fimbriatum	2004
KF499133	04-604-QD3-GGC-WA	Australia	Callocephalon fimbriatum	2004
KF499134	04-604-QD4-GGC-WA	Australia	Callocephalon fimbriatum	2004
KF499135	05-746-QF2-SCC-VIC	Australia	Cacatua galerita	2005
KF499136	LBC-10-QG2-LBC-VIC	Australia	Cacatua tenuirostris	2010
KF499137	LBC-11-QH2-LBC-VIC	Australia	Cacatua tenuirostris	2010
KF499138	LBC-51-QI2-LBC-VIC	Australia	Cacatua tenuirostris	2010
KF499139	11-1212-QE2-GGC-NSW	Australia	Callocephalon fimbriatum	2011
KF499140	11-1212-QE3-GGC-NSW	Australia	Callocephalon fimbriatum	2011
KF561250	CS12-0827-20214-OBP-TAS	Australia	Neophema chrysogaster	2012
KF673335	-	Australia	Lathamus discolor	2004
KF673336	-	Australia	Lathamus discolor	2004
KF688548	BFDV_AUS_RNP_B13_1996	Australia	Barnardius zonarius semitorquatus	1996
KF688549	BFDV_AUS_RNP_B14_1996	Australia	Barnardius zonarius semitorquatus	1996
KF688550	BFDV_AUS_RNP_B15_1996	Australia	Barnardius zonarius semitorquatus	1996
KF688551	BFDV_AUS_BP_1996	Australia	Neopsephotus bourkii	1996
KF688553	BFDV_AUS_HP_96_3015	Australia	Psephotus dissimilis	1996
KF688554	BFDV_AUS_04_146	Australia	Trichoglossus haematodus	2004
KF688555	BFDV_AUS_04_507	Australia	Trichoglossus haematodus	2004
KF688556	BFDV_AUS_04_594	Australia	Trichoglossus haematodus	2004
KF688557	BFDV_AUS_04_626	Australia	Trichoglossus haematodus	2004
KF688558	BFDV_AUS_04_666	Australia	Trichoglossus haematodus	2004
KF688559	BFDV_AUS_05_1228	Australia	Trichoglossus haematodus	2005
KF688560	BFDV_AUS_05_1231	Australia	Trichoglossus haematodus	2005
KF688561	BFDV_AUS_05_1373	Australia	Trichoglossus haematodus	2005
KF688562	BFDV_AUS_12_2146	Australia	Trichoglossus haematodus	2012
KF688563	BFDV_AUS_12_2147	Australia	Trichoglossus haematodus	2012
KF688564	BFDV_AUS_04_216	Australia	Psittacula krameri manillensis	2004
KF688565	BFDV_AUS_04_231	Australia	Poicephalus gulielmi	2004
KF688566	BFDV_AUS_04_291	Australia	Platycercus elegans	2004
KF688567	BFDV_AUS_W421_10	Australia	Platycercus elegans	2010
KF688568	BFDV_AUS_04_343	Australia	Amazona oratrix	2004
KF688569	BFDV_AUS_04_370	Australia	Melopsittacus undulatus	2004
KF688570	BFDV_AUS_04_862	Australia	Melopsittacus undulatus	2004
KF688571	BFDV_AUS_04_955	Australia	Melopsittacus undulatus	2004
KF688572	BFDV_AUS_04_902	Australia	Eclectus roratus	2004
KF688573	BFDV_AUS_04_696	Australia	Eclectus roratus	2005
KF723384	6IT09	Italy	Psittacus erithacus	2009
KF723385	3IT09	Italy	Psittacus erithacus	2009
KF723386	2IT09	Italy	Psittacus erithacus	2009
KF723387	8IT10	Italy	Psittacus erithacus	2010
KF723388	7IT09	Italy	Psittacus erithacus	2009
KF723389	4IT09	Italy	Psittacus erithacus	2009
KF723390	9IT11	Italy	Psittacus erithacus	2011
KF723391	1IT08	Italy	Psittacus erithacus	2008
KF723392	10IT11	Italy	Psittacus erithacus	2011
KF723393	5IT09	Italy	Psittacus erithacus	2009
KF723394	16IT10	Italy	Psittacus erithacus	2010
KF723395	13IT09	Italy	Psittacus erithacus	2009
KF723396	20IT11	Italy	Psittacus erithacus	2011
KF723397	19IT11	Italy	Psittacus erithacus	2011
KF723398	18IT11	Italy	Psittacus erithacus	2011
KF723399	15IT10	Italy	Psittacus erithacus	2010
KF723400	17IT10	Italy	Psittacus erithacus	2010
KF723401	12IT09	Italy	Psittacus erithacus	2009
KF723402	11IT09	Italy	Psittacus erithacus	2009
KF723403	14IT09	Italy	Psittacus erithacus	2009
KF768545	BFDV_NC13_35	New Caledonia	Trichoglossus haematodus deplanchii	2013
KF768546	BFDV_NC13_31	New Caledonia	Trichoglossus haematodus deplanchii	2013
KF768547	BFDV_NC13_30	New Caledonia	Trichoglossus haematodus deplanchii	2013
KF768548	BFDV_NC13_27	New Caledonia	Trichoglossus haematodus deplanchii	2013
KF768549	BFDV_NC13_20	New Caledonia	Trichoglossus haematodus deplanchii	2013
KF768550	BFDV_DL02B	New Caledonia	Trichoglossus haematodus deplanchii	2012
KF768551	BFDV_DL03B	New Caledonia	Trichoglossus haematodus deplanchii	2012
KF768552	BFDV_DL10B	New Caledonia	Trichoglossus haematodus deplanchii	2012
KF768553	BFDV_DL11B	New Caledonia	Trichoglossus haematodus deplanchii	2012
KF850537	BFDV_AUS_RP_13_1683	Australia	Polytelis anthopeplus monarchoides	2013
KJ413143	BFDV_RS	Serbia	-	2013
KJ634410	BFDV_AUS_11_1118_V1	Australia	Neophema chrysogaster	2011
KJ634411	BFDV_AUS_12_21441_V1	Australia	Neophema chrysogaster	2012
KJ634412	BFDV_AUS_12_21443_V1	Australia	Neophema chrysogaster	2012
KJ634413	BFDV_AUS_12_21447_V1	Australia	Neophema chrysogaster	2012
KJ634414	BFDV_AUS_12_214411_V1	Australia	Neophema chrysogaster	2012
KJ634415	BFDV_AUS_12_1499	Australia	Trichoglossus haematodus	2012
KJ634416	BFDV_AUS_12_2146_V1	Australia	Trichoglossus haematodus	2012
KJ634417	BFDV_AUS_12_2147_V1	Australia	Trichoglossus haematodus	2012
KJ634418	BFDV_AUS_12_18042	Australia	Trichoglossus rubritorquis	2012
KJ634419	BFDV_AUS_12_18043	Australia	Trichoglossus rubritorquis	2012
KJ634420	BFDV_AUS_12_18045	Australia	Trichoglossus rubritorquis	2012
KJ634421	BFDV_AUS_12_18046	Australia	Trichoglossus rubritorquis	2012
KJ634422	BFDV_AUS_12_18048	Australia	Trichoglossus rubritorquis	2012
KJ634423	BFDV_AUS_10_W06_V1	Australia	Cacatua galerita	2010
KJ634424	BFDV_AUS_10_W167_V1	Australia	Cacatua galerita	2010
KJ634425	BFDV_AUS_12_1437	Australia	Eolophus roseicapillus	2012
KJ634426	BFDV_AUS_92_SR14_Vac	Australia	Cacatua galerita	1992
KJ641714	BtRp-CV-14/GD2012	China	Rhinolophus pusillus	2012
KJ866054	BFDV_AUS_MRP_14_1195_001	Australia	Barnardius zonarius barnardi	2014
KJ953846	0-QLD	Australia	Platycercus elegans	-
KJ953847	1-VIC-2004	Australia	Platycercus elegans	2004
KJ953848	2-VIC-2005	Australia	Platycercus elegans	2005
KJ953849	3-VIC-2011	Australia	Platycercus elegans	2011
KJ953850	5-VIC-2005	Australia	Platycercus elegans	2005
KJ953851	28-VIC-2006	Australia	Platycercus elegans	2006
KJ953852	26-VIC-2006	Australia	Platycercus elegans	2006
KJ953853	30-VIC-2006	Australia	Platycercus elegans	2006
KJ953854	32-VIC-2006	Australia	Platycercus elegans	2006
KJ953855	33-VIC-2006	Australia	Platycercus elegans	2006
KJ953856	31-VIC-2006	Australia	Platycercus elegans	2006
KJ953857	36-SA-2005	Australia	Platycercus elegans	2005
KJ953858	34-VIC-2011	Australia	Platycercus elegans	2011
KJ953859	6-SA-2004	Australia	Platycercus elegans	2004
KJ953860	27-VIC-2006	Australia	Platycercus elegans	2006
KJ953861	7-SA-2005	Australia	Platycercus elegans	2005
KJ953862	9-SA-2005	Australia	Platycercus elegans	2005
KJ953863	10-NSW-2005	Australia	Platycercus elegans	2005
KJ953864	8-SA-2004	Australia	Platycercus elegans	2004
KJ953865	29-VIC-2006	Australia	Platycercus elegans	2006
KJ953866	14-NSW-2006	Australia	Platycercus elegans	2006
KJ953867	39-SA-2006	Australia	Platycercus elegans	2006
KJ953868	11-NSW-2005	Australia	Platycercus elegans	2005
KJ953869	35-SA-2005	Australia	Platycercus elegans	2005
KJ953870	4-VIC-2005	Australia	Platycercus elegans	2005
KJ953871	38-SA-2006	Australia	Platycercus elegans	2006
KJ953872	12-NSW-2005	Australia	Platycercus elegans	2005
KJ953873	13-NSW-2005	Australia	Platycercus elegans	2006
KJ953874	15-NSW-2006	Australia	Platycercus elegans	2006
KJ953875	37-SA-2006	Australia	Platycercus elegans	2006
KJ953876	16-NSW-2006	Australia	Platycercus elegans	2006
KJ953877	17-NSW-2006	Australia	Platycercus elegans	2006
KJ953878	18-NSW-2006	Australia	Platycercus elegans	2006
KJ953879	19-NSW-2006	Australia	Platycercus elegans	2006
KJ953880	20-NSW-2006	Australia	Platycercus elegans	2006
KJ953881	21-VIC-2006	Australia	Platycercus elegans	2006
KJ953882	22-VIC-2006	Australia	Platycercus elegans	2006
KJ953883	23-VIC-2006	Australia	Platycercus elegans	2006
KJ953884	24-VIC-2006	Australia	Platycercus elegans	2006
KJ953885	25-VIC-2006	Australia	Platycercus elegans	2006
KM188440	BFDV_ZA_FH01_2010	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188441	BFDV_ZA_FH05_2010	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188442	BFDV_ZA_FH07_2010	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188443	BFDV_ZA_FH14_2010	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188444	BFDV_ZA_FH15_2010	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188445	BFDV_ZA_FH16_2010	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188446	BFDV_ZA_FH21_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188447	BFDV_ZA_FH22_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188448	BFDV_ZA_FH23_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188449	BFDV_ZA_FH24_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188450	BFDV_ZA_FH27_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188451	BFDV_ZA_FH37_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188452	BFDV_ZA_FH38_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188453	BFDV_ZA_FH42_2011	South Africa: Alice, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188454	BFDV_ZA_GT02_2011	South Africa: East London, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188455	BFDV_ZA_GT07_2011	South Africa: East London, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188456	BFDV_ZA_GT10_2011	South Africa: East London, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188457	BFDV_ZA_GT11_2011	South Africa: East London, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2010
KM188458	BFDV_ZA_KWT01_2011	South Africa: King William's Town, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188459	BFDV_ZA_KWT02_2011	South Africa: King William's Town, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188460	BFDV_ZA_KWT03_2011	South Africa: King William's Town, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188461	BFDV_ZA_KWT04_2011	South Africa: King William's Town, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188462	BFDV_ZA_KWT06_2011	South Africa: King William's Town, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188463	BFDV_ZA_KWT07_2011	South Africa: King William's Town, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188464	BFDV_ZA_KWT09_2011	South Africa: King William's Town, Eastern Cape Province	Poicephalus robustus (Cape parrot)	2011
KM188465	BFDV_ZA_STUT01_2011	South Africa: Stutterheim	Poicephalus robustus (Cape parrot)	2011
KM382270	cluster VI	Brazil	bat colony of Molossus molossus and Tadarida brasiliensis	2012
KM409545	KP-A14-036	South Korea	Ara ararauna (blue and yellow macaw)	2014
KM452734	BFDV_NZ_OBS01_2013	New Zealand	Cyanoramphus novaezelandiae	2013
KM452735	BFDV_NZ_201822_2013	New Zealand	Cyanoramphus novaezelandiae	2013
KM452736	BFDV_NZ_201845_2013	New Zealand	Cyanoramphus novaezelandiae	2013
KM452737	BFDV_NZ_201706_2011	New Zealand	Cyanoramphus novaezelandiae	2011
KM452738	BFDV_NZ_201704_2011	New Zealand	Cyanoramphus novaezelandiae	2011
KM452739	BFDV_NZ_DP2409_2012	New Zealand	Cyanoramphus novaezelandiae	2012
KM452740	BFDV_NZ_DP2417_2012	New Zealand	Cyanoramphus novaezelandiae	2012
KM452741	BFDV_NZ_DP0369_2012	New Zealand	Cyanoramphus novaezelandiae	2012
