sequenceID	isolate	isolate_update	country	country_update	host_sci_name	host_sci_name_update	collection_year	collection_year_update
HQ641466	018R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641467	019R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641468	022R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641469	024R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641470	025R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641471	026R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641472	027R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641473	028R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641474	029R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641475	031R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641476	032R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641477	034R05/06	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2005	unchanged
HQ641478	035R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ641479	036R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ641480	037R95/96	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	1995	unchanged
HQ641481	040R05/06	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2005	unchanged
HQ641482	076R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641483	081R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641484	085R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ641485	087R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ641486	088R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ641487	091R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ641488	094R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ641489	099R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ641490	115R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641491	048E95/96	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	1995	unchanged
HQ641492	056E93/94	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	1993	unchanged
HQ641493	060E96/97	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	1996	unchanged
HQ641494	064E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641495	065E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641496	068E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641497	071E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641498	078E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641499	127E04/05	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2004	unchanged
HQ641500	128E04/05	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2004	unchanged
HQ641501	130E04/05	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2004	unchanged
HQ641502	131E04/05	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2004	unchanged
HQ641503	172E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641504	173E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641505	181E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641506	187E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641507	207E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641508	209E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641509	210E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641510	214E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641511	216E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641512	217E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641513	219E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641514	220E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641515	221E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641516	223E04/05	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641517	224E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641518	226E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641519	229E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641520	232E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641521	233E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641522	234E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641523	235E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641524	238E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641525	240E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641526	241E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641527	242E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641528	244E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ641529	245E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641530	247E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641531	248E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641532	251E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641533	257E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641534	272E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641535	273E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641536	278E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641537	281E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641538	292E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641539	317E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641540	322E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641541	351E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641542	355E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641543	356E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ641544	383E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641545	388E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641546	390E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641547	400E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641548	414E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641549	438E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641550	441E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641551	447E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641552	449E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ641553	551E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ641554	508E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ641555	528E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ641556	593E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ641557	597E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ641558	474E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ641559	598E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ641560	550E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ641561	611E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ641562	520E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ641563	544E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ662336	048E95/96	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	1995	unchanged
HQ662337	056E93/94	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	1993	unchanged
HQ662338	064E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662339	065E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662340	068E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662341	071E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662342	078E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662343	173E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662344	181E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662345	187E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662346	207E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ662347	209E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662348	217E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662349	219E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ662350	229E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662351	235E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ662352	240E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ662353	244E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2005	unchanged
HQ662354	245E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662355	247E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662356	272E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662357	273E05/06	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662358	278E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662359	292E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662360	317E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662361	322E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662362	351E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662363	355E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662364	356E06/07	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2006	unchanged
HQ662365	383E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662366	388E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662367	390E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662368	400E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662369	414E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662370	441E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662371	447E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662372	449E07/08	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2007	unchanged
HQ662373	551E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662374	508E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662375	528E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662376	521E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662377	570E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662378	593E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662379	597E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662380	474E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662381	598E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
HQ662382	611E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ662383	520E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ662384	544E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ662385	586E08/09	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2008	unchanged
HQ662386	002R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ662387	010R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ662388	013R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662389	014R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662390	016R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662391	017R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662392	018R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662393	022R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662394	024R06/06	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662395	026R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662396	027R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662397	028R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662398	029R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662399	031R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662400	076R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662401	081R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662402	085R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ662403	087R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ662404	088R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ662405	091R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ662406	094R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ662407	099R07/08	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2008	unchanged
HQ662408	115R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ662409	E0109542	unchanged	Mauritius	unchanged	Psittacula echo	unchanged	2009	unchanged
JF501523	IT02	unchanged	Italy	unchanged	Aratinga solstitialis	unchanged	2008	unchanged
JF501524	IT04	unchanged	Italy	unchanged	Melopsittacus undulatus	unchanged	2008	unchanged
JF501525	IT05	unchanged	Italy	unchanged	Agapornis roseicollis	unchanged	2008	unchanged
JF501526	IT06	unchanged	Italy	unchanged	Agapornis roseicollis	unchanged	2008	unchanged
JF501527	IT24	unchanged	Italy	unchanged	Cacatua alba	unchanged	2010	unchanged
JF501528	IT26	unchanged	Italy	unchanged	Psittacus erithacus	unchanged	2010	unchanged
JF501529	IT27	unchanged	Italy	unchanged	Psittacus erithacus	unchanged	2010	unchanged
JF501530	IT33	unchanged	Italy	unchanged	Psittacus erithacus	unchanged	2010	unchanged
JF501531	IT40	unchanged	Italy	unchanged	Psittacus erithacus	unchanged	2010	unchanged
JF501532	IT47	unchanged	Italy	unchanged	Psittacus erithacus	unchanged	2010	unchanged
JF519618	BFDV-NZ_L53_2010	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2010	unchanged
JF519619	BFDV-NZ_R18_2010	unchanged	New Zealand	unchanged	Platycercus eximius	unchanged	2010	unchanged
JF827600	IT54	unchanged	Italy	unchanged	Psittacus erithacus	unchanged	2008	unchanged
JF827601	IT60	unchanged	Italy	unchanged	Psittacus erithacus	unchanged	2008	unchanged
JQ649409	BH 732	unchanged	Brazil	unchanged	Amazona aestiva	unchanged	2011	unchanged
JQ649410	BH 215	unchanged	Brazil	unchanged	Amazona aestiva	unchanged	2011	unchanged
JQ649411	BH 27	unchanged	Brazil	unchanged	Psittacula krameri	unchanged	2011	unchanged
JQ782196	D134138	unchanged	New Zealand	unchanged	Platycercus eximius	unchanged	2009	unchanged
JQ782197	D134142	unchanged	New Zealand	unchanged	Platycercus eximius	unchanged	2009	unchanged
JQ782198	D134144	unchanged	New Zealand	unchanged	Platycercus eximius	unchanged	2009	unchanged
JQ782199	D134146	unchanged	New Zealand	unchanged	Platycercus eximius	unchanged	2009	unchanged
JQ782200	SCPA2	unchanged	New Zealand	unchanged	Platycercus eximius	unchanged	2009	unchanged
JQ782201	YCP01-11	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2011	unchanged
JQ782202	YCP28F	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2012	unchanged
JQ782203	YCP24	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2012	unchanged
JQ782204	YCP23	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2012	unchanged
JQ782205	YCP21	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2012	unchanged
JQ782206	YCP19	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2012	unchanged
JQ782207	YCP25	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2012	unchanged
JQ782208	YCP20	unchanged	New Zealand	unchanged	Cyanoramphus auriceps	unchanged	2012	unchanged
JX049196	NC107	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049197	NC108	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049198	NC109	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049199	NCF19	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049200	NCL1	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049201	NCL3	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049202	NCL7	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049203	NCL9	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049204	2NC37F	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049205	2NC38F	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049206	2NC39B	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049207	2NC40F	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049208	2NC41B	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049209	2NC42B	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049210	2NC43B	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049211	2NC44B	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049212	2NC94F	unchanged	New Caledonia	unchanged	Trichoglossus haematodus deplanchii	unchanged	2011	unchanged
JX049213	2NC85B	unchanged	New Caledonia	unchanged	Eclectus roratus	unchanged	2011	unchanged
JX049217	2NC89B	unchanged	New Caledonia	unchanged	Eclectus roratus	unchanged	2011	unchanged
JX049218	2NC90B	unchanged	New Caledonia	unchanged	Eclectus roratus	unchanged	2011	unchanged
JX049220	2NC92F	unchanged	New Caledonia	unchanged	Cyanoramphus saisetti	unchanged	2011	unchanged
JX221004	BFDV-Q_PL-1067_2010	unchanged	Poland	unchanged	Melopsittacus undulatus	unchanged	2010	unchanged
JX221006	BFDV-J_PL-1229_2010	unchanged	Poland	unchanged	Platycercus elegans	unchanged	2011	unchanged
JX221007	BFDV-J_PL-1232_2011	unchanged	Poland	unchanged	Psittacula krameri	unchanged	2011	unchanged
JX221008	BFDV-J_PL-1233_2011	unchanged	Poland	unchanged	Psittacula krameri	unchanged	2011	unchanged
JX221009	BFDV-Q_PL-1240_2011	unchanged	Poland	unchanged	Melopsittacus undulatus	unchanged	2011	unchanged
JX221013	BFDV-I_PL-13_2003	unchanged	Poland	unchanged	Poicephalus robustus	unchanged	2003	unchanged
JX221015	BFDV-S_PL-168_2006	unchanged	Poland	unchanged	Aprosmictus erythropterus	unchanged	2006	unchanged
JX221016	BFDV-S_PL-169_2006	unchanged	Poland	unchanged	Aprosmictus erythropterus	unchanged	2006	unchanged
JX221017	BFDV-T_PL-328_2007	unchanged	Poland	unchanged	Psittacula krameri	unchanged	2007	unchanged
JX221018	BFDV-T_PL-336_2007	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2007	unchanged
JX221020	BFDV-T_PL-376_2007	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2007	unchanged
JX221021	BFDV-T_PL-378_2007	unchanged	Poland	unchanged	Amazona amazonica	unchanged	2007	unchanged
JX221022	BFDV-T_PL-399_2007	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2007	unchanged
JX221024	BFDV-Q_PL-418_2007	unchanged	Poland	unchanged	Forpus coelestis	unchanged	2007	unchanged
JX221025	BFDV-B-D_PL-479_2007	unchanged	Poland	unchanged	Cacatua alba	unchanged	2007	unchanged
JX221026	BFDV-B-D_PL-482_2007	unchanged	Poland	unchanged	Melopsittacus undulatus	unchanged	2007	unchanged
JX221027	BFDV-B-D_PL-483_2007	unchanged	Poland	unchanged	Melopsittacus undulatus	unchanged	2007	unchanged
JX221028	BFDV-B-D_PL-496_2007	unchanged	Poland	unchanged	Melopsittacus undulatus	unchanged	2007	unchanged
JX221032	BFDV-J_PL-573_2008	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2008	unchanged
JX221033	BFDV-J_PL-677_2008	unchanged	Poland	unchanged	Alisterus scapularis	unchanged	2008	unchanged
JX221034	BFDV-N_PL-680_2008	unchanged	Poland	unchanged	Melopsittacus undulatus	unchanged	2008	unchanged
JX221035	BFDV-J_PL-683_2008	unchanged	Poland	unchanged	Platycercus eximius	unchanged	2008	unchanged
JX221036	BFDV-J_PL-684_2008	unchanged	Poland	unchanged	Alexandrine parakeet	unchanged	2008	unchanged
JX221037	BFDV-J_PL-688_2008	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2008	unchanged
JX221038	BFDV-I_PL-711_2008	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2008	unchanged
JX221039	BFDV-I_PL-717_2008	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2008	unchanged
JX221040	BFDV-R_PL-742_2008	unchanged	Poland	unchanged	Amazona aestiva	unchanged	2008	unchanged
JX221041	BFDV-J_PL-785_2009	unchanged	Poland	unchanged	Psittacus erithacus	unchanged	2009	unchanged
JX221042	BFDV-I_PL-830_2009	unchanged	Poland	unchanged	Alexandrine parakeet	unchanged	2009	unchanged
JX221043	BFDV-Q_PL-902_2009	unchanged	Poland	unchanged	Platycercus elegans	unchanged	2009	unchanged
KC121339	COR08000	unchanged	Australia	unchanged	Cacatua pastinator	unchanged	2008	unchanged
KC121340	OBP08450	unchanged	Australia	unchanged	Neophema chrysogaster	unchanged	2008	unchanged
KC693651	CS12082720213	unchanged	Australia	unchanged	Neophema chrysogaster	unchanged	2012	unchanged
KC693652	CS12082720203	unchanged	Australia	unchanged	Neophema chrysogaster	unchanged	2012	unchanged
KC693653	CS12082720214	unchanged	Australia	unchanged	Neophema chrysogaster	unchanged	2012	unchanged
KC980909	Taiwan-1	unchanged	Taiwan	unchanged	Cacatua ophthalmica	unchanged	2013	unchanged
KF188681	CS08-416-OBP-TAS-19144	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188682	CS08-418-OBP-TAS-19118	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188683	CS08-423-OBP-TAS-19076	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188684	CS08-424-OBP-TAS-19136	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188685	CS08-425-OBP-TAS-19140	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188686	CS08-448-OBP-TAS-19124	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188687	CS08-449-OBP-TAS-19167	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188688	CS08-450-OBP-TAS-19183	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188689	CS08-459-OBP-TAS-19157	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188690	CS08-482-OBP-TAS-19139	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188691	CS10-1017-OBP-VIC-HS030910-B	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
KF188692	CS10-1018-OBP-VIC-HS030910-c	unchanged	Australia	unchanged	Orange-bellied parrot	unchanged	-	unchanged
